model,top1_agreement,top5_agreement,retrieval_purity
resnet50,0.7133333333333334,0.8783333333333333,0.6826666666666666
dinov2,0.7483333333333333,0.8983333333333333,0.711
clip,0.7083333333333334,0.8783333333333333,0.683
