class_id,class_name,precision,recall,f1,support
0,other,0.9700557103064067,0.9399460188933874,0.9547635366689513,1482
1,crater,0.62,0.6966292134831461,0.656084656084656,89
2,dark dune,0.8636363636363636,0.8636363636363636,0.8636363636363636,66
3,slope streak,0.6119402985074627,0.8367346938775511,0.7068965517241379,49
4,bright dune,0.5333333333333333,1.0,0.6956521739130435,16
5,impact ejecta,0.23809523809523808,0.7142857142857143,0.35714285714285715,7
6,swiss cheese,0.9534883720930233,0.9761904761904762,0.9647058823529412,42
7,spider,0.8333333333333334,0.5952380952380952,0.6944444444444444,42
