bin_center,accuracy,confidence,count
0.03333333333333333,,,0
0.1,,,0
0.16666666666666669,,,0
0.23333333333333334,0.6666666666666666,0.24576644599437714,3
0.3,0.2727272727272727,0.3055136203765869,11
0.3666666666666667,0.21428571428571427,0.37131839990615845,14
0.43333333333333335,0.4666666666666667,0.4334954023361206,30
0.5,0.5333333333333333,0.4997873902320862,30
0.5666666666666667,0.631578947368421,0.5619842410087585,38
0.6333333333333333,0.71875,0.63677579164505,32
0.7,0.5833333333333334,0.7076432108879089,36
0.7666666666666666,0.7906976744186046,0.7644760608673096,43
0.8333333333333334,0.8947368421052632,0.8362559676170349,57
0.9,0.8375,0.9025130271911621,80
0.9666666666666667,0.9690265486725663,0.9742438793182373,226
