class_id,class_name,precision,recall,f1,support
0,other,0.9672830725462305,0.9176788124156545,0.9418282548476454,1482
1,crater,0.5677966101694916,0.7528089887640449,0.6473429951690821,89
2,dark dune,0.8571428571428571,0.9090909090909091,0.8823529411764706,66
3,slope streak,0.5316455696202531,0.8571428571428571,0.65625,49
4,bright dune,0.5925925925925926,1.0,0.7441860465116279,16
5,impact ejecta,0.20689655172413793,0.8571428571428571,0.3333333333333333,7
6,swiss cheese,0.9534883720930233,0.9761904761904762,0.9647058823529412,42
7,spider,0.8095238095238095,0.40476190476190477,0.5396825396825397,42
