class_name,f1_resnet50,f1_dinov2,f1_clip
other,0.9322898945219462,0.9418282548476454,0.9547635366689512
crater,0.5882352941176471,0.6473429951690821,0.656084656084656
dark dune,0.8571428571428571,0.8823529411764706,0.8636363636363636
slope streak,0.5354330708661418,0.65625,0.7068965517241379
bright dune,0.7692307692307693,0.7441860465116279,0.6956521739130435
impact ejecta,0.24,0.3333333333333333,0.3571428571428571
swiss cheese,0.9438202247191012,0.9647058823529412,0.9647058823529412
spider,0.0,0.5396825396825397,0.6944444444444444
