model,top1_agreement,top5_agreement,retrieval_purity
resnet50,0.8639152258784161,0.9403234802007808,0.8614612381483547
dinov2,0.8878973786949247,0.9514779698828778,0.8818739542665923
clip,0.879531511433352,0.9537088678192973,0.8768544339096487
