bin_center,accuracy,confidence,count
0.03333333333333333,,,0
0.1,,,0
0.16666666666666669,,,0
0.23333333333333334,,,0
0.3,,,0
0.3666666666666667,0.0,0.3805555999279022,1
0.43333333333333335,0.46153846153846156,0.4357529282569885,13
0.5,0.5,0.5029599666595459,26
0.5666666666666667,0.5531914893617021,0.5669647455215454,47
0.6333333333333333,0.6944444444444444,0.6357249617576599,36
0.7,0.7058823529411765,0.7042348384857178,51
0.7666666666666666,0.6842105263157895,0.7696633338928223,76
0.8333333333333334,0.8,0.8369385600090027,95
0.9,0.922077922077922,0.902711033821106,154
0.9666666666666667,0.9768160741885626,0.987270712852478,1294
