class_id,class_name,precision,recall,f1,support
0,other,0.9402882635552505,0.9244264507422402,0.9322898945219462,1482
1,crater,0.5612244897959183,0.6179775280898876,0.5882352941176471,89
2,dark dune,0.8507462686567164,0.8636363636363636,0.8571428571428571,66
3,slope streak,0.4358974358974359,0.6938775510204082,0.5354330708661418,49
4,bright dune,0.6521739130434783,0.9375,0.7692307692307693,16
5,impact ejecta,0.16666666666666666,0.42857142857142855,0.24,7
6,swiss cheese,0.8936170212765957,1.0,0.9438202247191011,42
7,spider,0.0,0.0,0.0,42
