true,pred,count
other,crater,38
other,slope streak,26
crater,other,15
spider,other,13
other,dark dune,8
other,impact ejecta,8
crater,bright dune,8
slope streak,other,8
other,spider,5
dark dune,other,5
crater,impact ejecta,4
spider,impact ejecta,4
other,bright dune,3
dark dune,bright dune,3
other,swiss cheese,1
