model_a,model_b,metric,diff,ci_low,ci_high,p_value,significant_95
resnet50,dinov2,macro_f1,-0.03977745050892545,-0.10748434886125365,0.011119070944108909,0.108,False
resnet50,dinov2,accuracy,-0.05166666666666675,-0.08333333333333337,-0.019958333333333474,0.002,True
resnet50,clip,macro_f1,-0.037006280257486424,-0.09396536733375635,0.03877061812620915,0.327,False
resnet50,clip,accuracy,-0.018333333333333424,-0.053333333333333344,0.015000000000000013,0.326,False
dinov2,clip,macro_f1,0.0027711702514390257,-0.04635871959205571,0.082021061612988,0.612,False
dinov2,clip,accuracy,0.033333333333333326,0.0,0.06666666666666665,0.059,False
