model_a,model_b,metric,diff,ci_low,ci_high,p_value,significant_95
resnet50,dinov2,macro_f1,-0.1054412353093972,-0.1469114967987565,-0.06399392001338045,0.0,True
resnet50,dinov2,accuracy,-0.018404907975460127,-0.03457891801450086,-0.002788622420524245,0.023,True
resnet50,clip,macro_f1,-0.1283967944211164,-0.17144315663255094,-0.08712455482799498,0.0,True
resnet50,clip,accuracy,-0.03569436698271056,-0.05242610150585614,-0.019520356943669933,0.0,True
dinov2,clip,macro_f1,-0.022955559111719204,-0.06545531416640307,0.017460257456716335,0.29,False
dinov2,clip,accuracy,-0.01728945900725043,-0.031790295593976614,-0.003346346904629094,0.024,True
